region,ds,y,calendar_ds
abruzzo,2017-04-30,17.94,2023-01-15
abruzzo,2017-05-07,16.09,2023-01-22
abruzzo,2017-05-14,15.3,2023-01-29
abruzzo,2017-05-21,12.99,2023-02-05
abruzzo,2017-05-28,12.92,2023-02-12
abruzzo,2017-06-04,14.72,2023-02-19
abruzzo,2017-06-11,11.11,2023-02-26
abruzzo,2017-06-18,12.88,2023-03-05
abruzzo,2017-06-25,16.66,2023-03-12
abruzzo,2017-07-02,10.57,2023-03-19
abruzzo,2017-07-09,9.57,2023-03-26
abruzzo,2017-07-16,7.37,2023-04-02
abruzzo,2017-07-23,6.91,2023-04-09
abruzzo,2017-07-30,8.47,2023-04-16
abruzzo,2017-08-06,9.54,2023-04-23
abruzzo,2017-08-13,7.51,2023-04-30
abruzzo,2017-08-20,8.38,2023-11-12
abruzzo,2017-08-27,8.99,2023-11-19
abruzzo,2017-09-03,10.67,2023-11-26
abruzzo,2017-09-10,12.68,2023-12-03
abruzzo,2017-09-17,12.19,2023-12-10
abruzzo,2017-09-24,15.52,2023-12-17
abruzzo,2017-10-01,16.04,2023-12-24
abruzzo,2017-10-08,21.76,2023-12-31
abruzzo,2017-10-15,21.23,2024-01-07
abruzzo,2017-10-22,18.13,2024-01-14
abruzzo,2017-10-29,16.98,2024-01-21
abruzzo,2017-11-05,13.04,2024-01-28
abruzzo,2017-11-12,10.24,2024-02-04
abruzzo,2017-11-19,11.25,2024-02-11
abruzzo,2017-11-26,8.61,2024-02-18
abruzzo,2017-12-03,7.78,2024-02-25
abruzzo,2017-12-10,7.84,2024-03-03
abruzzo,2017-12-17,7.55,2024-03-10
abruzzo,2017-12-24,6.06,2024-03-17
abruzzo,2017-12-31,5.52,2024-03-24
abruzzo,2018-01-07,6.72,2024-03-31
abruzzo,2018-01-14,6.5,2024-04-07
abruzzo,2018-01-21,4.94,2024-04-14
abruzzo,2018-01-28,5.62,2024-04-21
abruzzo,2018-02-04,5.63,2024-04-28
abruzzo,2018-02-11,6.5667187630643,2024-10-20
abruzzo,2018-02-18,6.87474306675521,2024-10-27
abruzzo,2018-02-25,7.54262534068581,2024-11-03
abruzzo,2018-03-04,8.67325352778676,2024-11-10
abruzzo,2018-03-11,9.2518852193823,2024-11-17
abruzzo,2018-03-18,9.89279122101697,2024-11-24
abruzzo,2018-03-25,11.1790493036159,2024-12-01
abruzzo,2018-04-01,11.0441767068273,2024-12-08
abruzzo,2018-04-08,13.0458138285627,2024-12-15
abruzzo,2018-04-15,13.3137979360428,2024-12-22
abruzzo,2018-04-22,13.3135327228866,2024-12-29
abruzzo,2018-04-29,17.253534667299,2025-01-05
abruzzo,2018-05-06,20.0543499160396,2025-01-12
abruzzo,2018-05-13,20.7209054901106,2025-01-19
abruzzo,2018-05-20,22.7077538358991,2025-01-26
abruzzo,2018-05-27,23.2062362746735,2025-02-02
abruzzo,2018-06-03,21.0926384064194,2025-02-09
abruzzo,2018-06-10,19.2560573906024,2025-02-16
abruzzo,2018-06-17,17.4654913035446,2025-02-23
abruzzo,2018-06-24,14.9931909522702,2025-03-02
abruzzo,2018-07-01,13.0814440520309,2025-03-09
abruzzo,2018-07-08,12.762442535156,2025-03-16
abruzzo,2018-07-15,11.0224172133867,2025-03-23
abruzzo,2018-07-22,11.4662061539967,2025-03-30
abruzzo,2018-07-29,8.13358982423546,2025-04-06
abruzzo,2018-08-05,7.11111788602395,2025-04-13
abruzzo,2018-08-12,5.84226819691936,2025-04-20
abruzzo,2018-08-19,4.52670390245683,2025-04-27
basilicata,2012-01-08,0.66,2012-01-08
basilicata,2012-01-15,2.65,2012-01-15
basilicata,2012-01-22,0.0,2012-01-22
basilicata,2012-01-29,4.66,2012-01-29
basilicata,2012-02-05,9.31,2012-02-05
basilicata,2012-02-12,7.28,2012-02-12
basilicata,2012-02-19,3.31,2012-02-19
basilicata,2012-02-26,7.32,2012-02-26
basilicata,2012-03-04,0.0,2012-03-04
basilicata,2012-03-11,1.33,2012-03-11
basilicata,2012-03-18,1.32,2012-03-18
basilicata,2012-03-25,0.0,2012-03-25
basilicata,2012-04-01,0.0,2012-04-01
basilicata,2012-04-08,0.0,2012-04-08
basilicata,2012-04-15,0.0,2012-04-15
basilicata,2012-04-22,0.0,2012-04-22
basilicata,2012-04-29,0.0,2012-04-29
basilicata,2012-05-06,0.0,2012-11-04
basilicata,2012-05-13,0.0,2012-11-11
basilicata,2012-05-20,0.0,2012-11-18
basilicata,2012-05-27,0.0,2012-11-25
basilicata,2012-06-03,0.0,2012-12-02
basilicata,2012-06-10,0.69,2012-12-09
basilicata,2012-06-17,0.66,2012-12-16
basilicata,2012-06-24,1.13,2012-12-23
basilicata,2012-07-01,0.0,2012-12-30
basilicata,2012-07-08,0.87,2013-01-06
basilicata,2012-07-15,0.0,2013-01-13
basilicata,2012-07-22,0.0,2013-01-20
basilicata,2012-07-29,5.54,2013-01-27
basilicata,2012-08-05,9.04,2013-02-03
basilicata,2012-08-12,9.27,2013-02-10
basilicata,2012-08-19,10.24,2013-02-17
basilicata,2012-08-26,8.47,2013-02-24
basilicata,2012-09-02,19.13,2013-03-03
basilicata,2012-09-09,14.42,2013-03-10
basilicata,2012-09-16,6.9,2013-03-17
basilicata,2012-09-23,16.1,2013-03-24
basilicata,2012-09-30,6.45,2013-03-31
basilicata,2012-10-07,4.38,2013-04-07
basilicata,2012-10-14,0.36,2013-04-14
basilicata,2012-10-21,0.39,2013-04-21
basilicata,2012-10-28,1.98,2013-04-28
basilicata,2012-11-04,0.0,2013-10-27
basilicata,2012-11-11,0.0,2013-11-03
basilicata,2012-11-18,0.0,2013-11-10
basilicata,2012-11-25,1.03,2013-11-17
