model,horizon,MAE,RMSE,sMAPE,MASE,WIS,CRPS,PinballLoss,Coverage95,Coverage95_Dist,origin
Chronos-V2,1,0.07187500000000036,0.07187500000000036,0.883426157096221,0.041170962767129525,0.18464610224184785,0.19589287109375,0.09232305112092393,1.0,0.050000000000000044,2014-04-20 00:00:00
Chronos-V2,1,0.8289062500000002,0.8289062500000002,15.682506836154019,0.47480860321656765,0.47987474524456547,0.5408689453125001,0.23993737262228265,1.0,0.050000000000000044,2014-05-18 00:00:00
Chronos-V2,1,0.3626562499999997,0.3626562499999997,8.450909355713733,0.20773435778805888,0.19140847911005418,0.2114673339843748,0.09570423955502709,1.0,0.050000000000000044,2014-06-15 00:00:00
Chronos-V2,1,0.21062500000000028,0.21062500000000028,3.8542917595928454,0.12064882132628349,0.15634086277173923,0.16791835937500013,0.07817043138586961,1.0,0.050000000000000044,2014-07-13 00:00:00
Chronos-V2,1,0.38406250000000064,0.38406250000000064,3.2764159368710146,0.2199961445252262,0.2558801800271741,0.27328574218750035,0.12794009001358708,1.0,0.050000000000000044,2014-08-10 00:00:00
Chronos-V2,1,2.4875000000000007,2.4875000000000007,12.630910821961287,1.4248733201145631,1.4224808933423918,1.590565039062501,0.711240446671196,1.0,0.050000000000000044,2014-09-07 00:00:00
Chronos-V2,1,0.25937500000000036,0.25937500000000036,2.6547257316488126,0.14857347433355386,0.19763862941576102,0.21177373046875017,0.09881931470788051,1.0,0.050000000000000044,2014-10-05 00:00:00
Chronos-V2,1,0.5642187500000002,0.5642187500000002,8.411269377249278,0.3231920577219653,0.308342391304348,0.3432753906250002,0.15417119565217402,1.0,0.050000000000000044,2014-11-02 00:00:00
Chronos-V2,1,0.2723437500000001,0.2723437500000001,4.9663071816277995,0.15600214805023138,0.15718834918478264,0.17155820312500006,0.07859417459239132,1.0,0.050000000000000044,2014-11-30 00:00:00
Chronos-V2,1,0.046875,0.046875,1.0471204188481675,0.026850627891606083,0.08601222826086956,0.08983671874999999,0.043006114130434786,1.0,0.050000000000000044,2014-12-28 00:00:00
Chronos-V2,1,0.2666376349409596,0.2666376349409596,4.685333393701814,0.15273360891088233,0.16364989994972332,0.17657580291093183,0.08182494997486167,1.0,0.050000000000000044,2015-01-25 00:00:00
Chronos-V2,1,0.8439064999993704,0.8439064999993704,9.40949254831788,0.4834009473448696,0.5077457897414372,0.5647594648432778,0.2538728948707187,1.0,0.050000000000000044,2015-02-22 00:00:00
Chronos-V2,1,2.2795051146754,2.2795051146754,19.5415158839724,1.3057310637047896,1.545450344392178,1.7461009224809954,0.772725172196089,1.0,0.050000000000000044,2015-03-22 00:00:00
Chronos-V2,1,1.7805581984728,1.7805581984728,10.80171715151414,1.019927586699555,1.0672710223766348,1.19640786713938,0.5336355111883174,1.0,0.050000000000000044,2015-04-19 00:00:00
Chronos-V2,1,1.4095737158089996,1.4095737158089996,11.403361481829261,0.8074227056848202,0.8852931489811084,0.9977828732813997,0.4426465744905542,1.0,0.050000000000000044,2015-05-17 00:00:00
Chronos-V2,2,0.06062499999999993,0.06062499999999993,1.4644825243451332,0.03472681207314383,0.17247781504755433,0.178970361328125,0.08623890752377716,1.0,0.050000000000000044,2006-10-15 00:00:00
Chronos-V2,2,0.06007812499999998,0.06007812499999998,3.5340885590201974,0.034413554747741784,0.07653694484544836,0.08092796630859375,0.03826847242272419,1.0,0.050000000000000044,2006-11-12 00:00:00
