model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel
LightGBM,2011-2012,latest,2012-02-05,2012-02-05,0.0,9.63,7.992602141052878,1.6373978589471232,-0.17003093031641983
LightGBM,2012-2013,latest,2013-02-10,2013-04-14,9.0,9.98,11.29652470687193,1.3165247068719292,0.13191630329378048
LightGBM,2013-2014,latest,2014-02-09,2014-02-16,1.0,6.62,9.024243624227616,2.4042436242276155,0.36317879520054613
LightGBM,2014-2015,latest,2015-01-25,2015-02-01,1.0,10.87,10.274130829806827,0.595869170193172,-0.05481777094693395
LightGBM,2015-2016,latest,2016-02-28,2016-02-21,-1.0,6.14,5.739346729280873,0.4006532707191264,-0.06525297568715413
LightGBM,2016-2017,latest,2017-01-01,2017-01-08,1.0,9.57,10.449297125616251,0.879297125616251,0.09188057738936792
LightGBM,2017-2018,latest,2018-01-14,2018-01-28,2.0,14.73,10.752114124819665,3.977885875180336,-0.2700533520149583
LightGBM,2018-2019,latest,2019-02-03,2019-01-27,-1.0,14.06,11.475935155185471,2.584064844814529,-0.18378839579050704
LightGBM,2019-2020,latest,2020-02-02,2020-02-23,3.0,12.62,10.187397456933567,2.432602543066432,-0.19275772924456672
LightGBM,2020-2021,latest,2020-11-08,2020-11-22,2.0,2.04,6.584808237929294,4.544808237929294,2.227847175455536
LightGBM,2021-2022,latest,2022-04-03,2022-01-23,-10.0,5.29,11.234555940108509,5.944555940108509,1.1237345822511358
LightGBM,2022-2023,latest,2022-12-04,2022-12-04,0.0,15.72,13.631456857733776,2.088543142266225,-0.13285897851566317
LightGBM,2023-2024,latest,2023-12-31,2023-12-31,0.0,18.45,14.891611668366552,3.558388331633447,-0.19286657624029524
LightGBM,2024-2025,latest,2025-01-26,2025-01-26,0.0,17.3743081984728,15.708153821686905,1.6661543767858955,-0.09589759533172955
MovingAverage,2008-2009,latest,2009-01-25,2009-04-12,11.0,8.23,2.8207692307692307,5.40923076923077,-0.6572576876343583
MovingAverage,2009-2010,latest,2009-11-15,2009-12-20,5.0,12.92,3.7125,9.2075,-0.7126547987616099
MovingAverage,2010-2011,latest,2011-02-06,2011-04-24,11.0,11.04,3.613653846153845,7.426346153846154,-0.6726762820512822
MovingAverage,2011-2012,latest,2012-02-05,2011-10-30,-14.0,9.63,3.613653846153845,6.016346153846156,-0.6247503794232768
